Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS
CF562CRPAJ02;Papucs 10;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAK02;Papucs 11;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAL02;Papucs 12;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF574CRPAA02;Kisrugó;0,005;2190;400;300;280;24;;2190;LF511;900;AKL1;;11,95;24;52560;;;;A1;HV;;;
CF575CRPAA02;Nagyrugó;0,005;1000;390;300;280;24;;1000;EF4120;500;AKL1;;6;24;24000;;;;MOSÓ;HV;;;
CF577CRPAA02;SDD szelep;0,005;780;425;260;175;40;;780;LF511;325;AKL1;;4,9;40;31200;;;;B2;HV;;;
CF578CRPAA02;DSO szelep;0,005;1080;425;260;175;40;;1080;LF511;450;AKL1;;6,4;40;43200;;;;B2;HV;;;
CG5B8CRPBA01;Cylinder tömítés;0,010651;1000;360;300;12;40;;1000;LF321;800;AKL1;;11,651;40;40000;;;;B1;HV17;;;
CG5C8CRPAA02;Rear head tömítés;0,0373;300;300;290;120;40;;300;LF321;300;AKL1;;12,19;40;12000;;;;B1;HV14;;;
CG5C8CRPBA02;Rear head tömítés;0,044948;500;360;300;12;40;;500;LF321;300;AKL1;;23,474;40;20000;;;;B1;HV17;;;
CG5E8CRPAA02;Fronthead tömítés;0,038;1000;300;300;130;40;;1000;LF321;800;AKL1;;39;40;40000;;;;B1;HV14;;;
CG5E8CRPBA02;Fronthead tömítés;0,004056;1000;350;300;130;40;;1000;LF321;800;AKL1;;5,056;40;40000;;;;B1;HV17;;;
CT100CRPAA02;Hosszúcsavar;0,0254;450;345;245;110;40;;450;LF322;450;AKL1;;12,43;40;18000;;;;B1;HV;;;
CT540CRPAA02;Tekercs zéger;0,0077;600;330;230;110;48;;600;LF321;600;AKL1;;5,62;48;28800;;;;D/E;HV;;;
E505MGGAA01;ECV szelep Fox&Dragon;0,105;48;385;210;100;72;;48;LF532;96;AKL1;;6,04;72;3456;;;;B2;HV;;;
F518FYHAB02;Cylinder tömítés;0,087;1000;300;290;120;40;;1000;LF321;800;AKL1;;88;40;40000;;;;B1;HV14;;;
CT520CRPAA03;C-klip;;9000;205;205;77;100;;9000;LF221;3600;AKL1;;1;100;900000;;;;A1;HV;;;
CT500CRPBB03;Cylinder-zéger;;4000;255;178;130;80;;4000;LF221;1500;AKL1;;1;80;320000;;;;A2;HV;;;
CF551CRPAA03;Csapágy alátét;;420;250;210;100;32;;420;LF322;360;AKL1;;1;32;13440;;;;B1;VS&HV;;;
CF551CRPAK03;Csapágy alátét;;300;250;210;100;32;;300;LF322;360;AKL1;;1;32;9600;;;;B1;VS&HV;;;
CF551CRPAL03;Csapágy alátét;;300;250;210;100;32;;300;LF322;360;AKL1;;1;32;9600;;;;B1;VS&HV;;;
CF551CRPAM03;Csapágy alátét;;300;250;210;100;32;;300;LF322;360;AKL1;;1;32;9600;;;;B1;VS&HV;;;
CT500CRPCC02;ECV zéger;;6000;335;220;100;1;;6000;LF322;6000;AKL1;;1;1;6000;;;;B2;HV;;;
E505MGGAA01;ECV Fox&Dragon;;48;385;210;100;72;;48;LF532;96;AKL1;;1;72;3456;;;;B2;HV;;;
CF572CRPAA02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;1;80;800000;;;;D/E;VS&HV;;;
CF572CRPAB02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;1;80;800000;;;;D/E;VS&HV;;;
CF572CRPAC02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;1;80;800000;;;;D/E;VS&HV;;;
CF572CRPAD02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;1;80;800000;;;;D/E;VS&HV;;;
CF572CRPAE02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;1;80;800000;;;;D/E;VS&HV;;;
CF572CRPAF02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;1;80;800000;;;;D/E;VS&HV;;;
CF572CRPAG02;Kuplung alátét;;10000;220;180;180;80;;10000;LF211;1000;AKL1;;;80;800000;;;;D/E;VS&HV;;;
;;;;;;;;;;;;;;;;0;;;;;;;;
;;;;;;;;;;;;;;;;0;;;;;;;;
CP500MGG1A01;HV 14 DRAGON RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B5WCB02;HV 14 FOX RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B5WCC02;HV 14 2.0 RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PAA01;HV14 C2 DV5Neo RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PCD01;HV17 C2 DRAGON RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PCE02;HV17 C2 DV5Neo RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500A8G1B02;HV17 UP375 RH - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
01322901-01;HV 14 DRAGON FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B5W4A01;HV 14 FOX FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
01322995-01;HV 14 2.0 FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B2PAB01;HV14 C2 DV5Neo FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B2PCB01;HV17 C2 DRAGON FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B2PCC01;HV17 C2 DV5Neo FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500A8G1A01;HV17 UP375 FH - IMPREGNÁLT;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
01322996-01;HV 14 CILINDER - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PCA01;HV17 CILINDER - IMPREGNÁLT;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
JLR FH;jövőbeni termék 1;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
JLR RH;jövőbeni termék 2;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
JLR CYL;jövőbeni termék 3;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
HMG FH;jövőbeni termék 4;;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
HMG RH;jövőbeni termék 5;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
HMG CYL;jövőbeni termék 6;;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
